net,length_um
net4,44.48
_1_,27.38
clk,17.56
net2,16.48
clknet_0_clk,15.1
net1,12.16
clear,11.8
clknet_1_0__leaf_clk,8.14
_3_,8.06
clknet_1_1__leaf_clk,7.68
net3,7.6
_0_,7
_2_,5.72
qbar,4.83
d,4.61
q,3.47
