net,length_um
_2489_,15.38
_2507_,15.38
reg_file.memory\[7\]\[25\],15.38
_0940_,15.34
reg_file.memory\[15\]\[21\],15.34
_0875_,15.32
_1865_,15.32
reg_file.memory\[21\]\[29\],15.26
_0168_,15.24
_1242_,15.24
_0812_,15.22
_1838_,15.22
_2298_,15.22
_1226_,15.2
_1561_,15.2
_2452_,15.18
reg_file.memory\[1\]\[17\],15.16
_1312_,15.15
reg_file.memory\[9\]\[27\],15.14
_1628_,15.12
_1046_,15.1
_1309_,15.1
reg_file.memory\[4\]\[11\],15.1
_0939_,15.08
_0942_,15.08
_1489_,15.08
reg_file.memory\[5\]\[19\],15.08
_1189_,15.04
_1363_,15.04
_2102_,15.04
_1064_,15.02
reg_file.memory\[7\]\[7\],15.02
reg_file.memory\[25\]\[5\],15
_1416_,14.98
_2502_,14.96
reg_file.memory\[10\]\[18\],14.96
_1377_,14.94
reg_file.memory\[8\]\[25\],14.94
reg_file.memory\[2\]\[22\],14.93
_0712_,14.92
_1126_,14.92
_1566_,14.92
_1612_,14.92
_2205_,14.9
_0264_,14.885
_0608_,14.88
_0938_,14.88
_1596_,14.88
_1886_,14.88
reg_file.memory\[21\]\[1\],14.88
_0024_,14.87
_0493_,14.845
_1794_,14.84
_2170_,14.84
reg_file.memory\[4\]\[31\],14.84
_1551_,14.78
_1728_,14.765
_0790_,14.76
_0982_,14.76
_1446_,14.76
_1590_,14.76
_1182_,14.75
_1186_,14.74
net13,14.74
_1203_,14.71
_2530_,14.7
_2152_,14.68
reg_file.memory\[21\]\[18\],14.68
_1319_,14.64
_1435_,14.64
_2005_,14.64
_2179_,14.64
_2301_,14.64
reg_file.memory\[2\]\[24\],14.64
reg_file.memory\[4\]\[14\],14.64
_1066_,14.62
_2187_,14.62
reg_file.memory\[1\]\[4\],14.62
reg_file.memory\[25\]\[14\],14.62
_1584_,14.6
reg_file.memory\[6\]\[17\],14.6
_2293_,14.56
reg_file.memory\[25\]\[24\],14.56
_1581_,14.55
_1201_,14.5
reg_file.memory\[9\]\[10\],14.5
_1179_,14.48
_1480_,14.48
reg_file.memory\[0\]\[2\],14.48
_1531_,14.42
_2150_,14.42
reg_file.memory\[0\]\[3\],14.42
reg_file.memory\[10\]\[10\],14.42
reg_file.memory\[7\]\[12\],14.42
_1278_,14.4
_2560_,14.4
_1932_,14.38
_2591_,14.38
_1296_,14.36
_2439_,14.36
_1375_,14.34
reg_file.memory\[4\]\[2\],14.34
_2821_,14.3
_0184_,14.285
_2346_,14.28
_0741_,14.26
_2516_,14.26
_2049_,14.24
reg_file.memory\[15\]\[8\],14.22
reg_file.memory\[6\]\[18\],14.22
_2250_,14.2
reg_file.memory\[10\]\[20\],14.2
reg_file.memory\[15\]\[31\],14.2
reg_file.memory\[21\]\[7\],14.2
_0376_,14.185
_1481_,14.18
_1598_,14.18
_0007_,14.16
_0489_,14.115
_1463_,14.1
_1956_,14.1
clk_div.counter\[16\],14.1
reg_file.memory\[2\]\[15\],14.1
_1461_,14.08
reg_file.memory\[15\]\[30\],14.08
_1856_,14.06
_2021_,14.06
_2482_,14.04
_2813_,14.04
reg_file.memory\[5\]\[27\],14.04
_0713_,14.02
_0756_,14.02
_1611_,14.02
_2062_,14
_2085_,14
cx[2],14
_2258_,13.995
_1540_,13.98
_2048_,13.96
reg_file.memory\[1\]\[8\],13.94
_0175_,13.925
_1022_,13.92
_2611_,13.92
_2308_,13.9
_2685_,13.88
reg_file.memory\[21\]\[3\],13.88
_2485_,13.86
reg_file.memory\[6\]\[27\],13.86
_2329_,13.84
_2561_,13.84
_1913_,13.82
reg_file.memory\[25\]\[0\],13.82
_0885_,13.8
_1508_,13.8
reg_file.memory\[2\]\[0\],13.8
reg_file.memory\[2\]\[14\],13.8
_1556_,13.78
_1568_,13.78
_1966_,13.775
clk_div.counter\[4\],13.74
_1550_,13.72
_2055_,13.72
_1204_,13.68
reg_file.memory\[10\]\[11\],13.68
reg_file.memory\[5\]\[1\],13.68
_0827_,13.66
_0880_,13.64
_1311_,13.64
reg_file.memory\[2\]\[5\],13.64
_1582_,13.63
reg_file.memory\[5\]\[12\],13.62
_1275_,13.615
_0035_,13.595
_1198_,13.58
_1750_,13.58
reg_file.memory\[21\]\[12\],13.56
_0916_,13.54
_0951_,13.54
_0253_,13.525
_0169_,13.515
_0692_,13.5
_2035_,13.5
reg_file.memory\[8\]\[15\],13.48
_1260_,13.46
_2623_,13.46
reg_file.memory\[8\]\[23\],13.46
_0620_,13.44
_2232_,13.44
_0828_,13.42
_1939_,13.42
_0632_,13.41
_1276_,13.4
_0793_,13.38
_1460_,13.38
_2274_,13.38
_2805_,13.38
reg_file.memory\[6\]\[19\],13.36
_2007_,13.32
reg_file.memory\[21\]\[25\],13.3
_1039_,13.28
_0487_,13.245
_1206_,13.24
reg_file.memory\[8\]\[3\],13.24
_1434_,13.22
_1465_,13.22
reg_file.memory\[15\]\[12\],13.22
_1191_,13.2
_2173_,13.2
reg_file.memory\[15\]\[20\],13.2
_1297_,13.16
_1510_,13.16
_0216_,13.125
_1023_,13.12
_1833_,13.12
reg_file.memory\[21\]\[15\],13.12
reg_file.memory\[21\]\[9\],13.1
_1636_,13.08
_1542_,13.04
_2686_,13.04
_2715_,13.04
_2724_,13.04
_2834_,13.04
_1388_,13.02
_2529_,13.02
reg_file.memory\[8\]\[18\],13.02
_1507_,13
_0290_,12.985
reg_file.memory\[8\]\[16\],12.98
_0765_,12.96
_1842_,12.96
_1997_,12.96
_2177_,12.96
_2364_,12.96
_2616_,12.96
_2667_,12.96
reg_file.memory\[8\]\[12\],12.96
_1281_,12.94
_1942_,12.94
_0321_,12.925
_0882_,12.9
_1086_,12.9
_1282_,12.88
_2261_,12.88
_2176_,12.86
_0461_,12.84
_0532_,12.84
_1447_,12.84
clk_div.counter\[17\],12.84
reg_file.memory\[9\]\[14\],12.84
_1456_,12.835
_1337_,12.8
reg_file.memory\[2\]\[1\],12.8
_1218_,12.78
_1378_,12.76
reg_file.memory\[15\]\[7\],12.76
reg_file.memory\[25\]\[13\],12.76
_0769_,12.74
_2348_,12.74
_1140_,12.72
_1948_,12.72
_0189_,12.705
_1731_,12.7
_2456_,12.7
_2587_,12.7
_0135_,12.685
_1855_,12.66
_2631_,12.66
reg_file.memory\[2\]\[9\],12.64
_0596_,12.62
_1883_,12.62
_1961_,12.62
_2216_,12.62
_0021_,12.605
_0783_,12.58
_1011_,12.58
_1515_,12.58
_2052_,12.58
_2725_,12.58
_2726_,12.58
_2738_,12.58
reg_file.memory\[0\]\[4\],12.58
reg_file.memory\[8\]\[20\],12.58
reg_file.memory\[9\]\[19\],12.58
seven_seg_conv.temp\[13\],12.58
_2318_,12.56
reg_file.memory\[9\]\[1\],12.56
_1567_,12.54
_0305_,12.525
reg_file.memory\[5\]\[13\],12.52
_0767_,12.5
_0818_,12.5
_1616_,12.5
_1878_,12.5
_2118_,12.5
_0891_,12.48
reg_file.memory\[5\]\[7\],12.48
_1030_,12.445
_2073_,12.44
_0385_,12.435
_1726_,12.42
_0383_,12.405
_0559_,12.4
reg_file.memory\[2\]\[6\],12.4
_0098_,12.365
_0437_,12.345
_1440_,12.34
_1523_,12.34
_1848_,12.34
_1197_,12.3
_0892_,12.28
_1250_,12.28
_0898_,12.26
_1862_,12.26
reg_file.memory\[2\]\[12\],12.26
_0482_,12.255
_1790_,12.24
_1429_,12.22
_0238_,12.205
_1673_,12.2
_1813_,12.2
reg_file.memory\[1\]\[28\],12.2
reg_file.memory\[8\]\[21\],12.19
_2619_,12.18
reg_file.memory\[21\]\[4\],12.18
_1329_,12.175
_0680_,12.16
_0681_,12.16
_1243_,12.16
_1366_,12.16
_2132_,12.16
_2535_,12.16
reg_file.memory\[7\]\[30\],12.16
_0468_,12.125
_1288_,12.12
reg_file.memory\[10\]\[29\],12.12
reg_file.memory\[1\]\[15\],12.12
reg_file.memory\[25\]\[8\],12.12
_2484_,12.1
_2790_,12.1
reg_file.memory\[4\]\[21\],12.1
seven_seg_conv.temp\[18\],12.1
_0026_,12.09
_2123_,12.09
_1303_,12.08
_1395_,12.08
_2352_,12.08
_2697_,12.08
reg_file.memory\[15\]\[9\],12.08
_0410_,12.045
_1824_,12.04
_1896_,12.04
_2768_,12.04
_1228_,12
reg_file.memory\[7\]\[24\],12
reg_file.memory\[9\]\[29\],12
reg_file.memory\[9\]\[8\],12
_0718_,11.98
_1573_,11.98
_1613_,11.98
reg_file.memory\[25\]\[10\],11.98
reg_file.memory\[6\]\[1\],11.98
reg_file.memory\[6\]\[26\],11.98
_0393_,11.975
_2300_,11.95
_0413_,11.94
reg_file.memory\[2\]\[18\],11.94
_0159_,11.935
_0523_,11.92
_1213_,11.92
_2320_,11.92
_1519_,11.88
_1544_,11.88
_2414_,11.88
_2454_,11.88
_0745_,11.86
reg_file.memory\[9\]\[9\],11.86
_2865_,11.82
_1199_,11.8
_2075_,11.8
_2405_,11.8
_2644_,11.8
_0840_,11.78
_2306_,11.78
reg_file.memory\[6\]\[29\],11.78
reg_file.memory\[9\]\[28\],11.78
_1490_,11.76
reg_file.memory\[15\]\[23\],11.76
_1471_,11.74
seven_seg_conv.temp\[3\],11.74
reg_file.memory\[2\]\[7\],11.72
_0679_,11.7
_0761_,11.7
_1837_,11.7
_2323_,11.7
_1921_,11.66
_2802_,11.66
reg_file.memory\[10\]\[4\],11.66
reg_file.memory\[1\]\[16\],11.66
_0763_,11.64
_1359_,11.64
reg_file.memory\[10\]\[8\],11.64
_0095_,11.625
_1135_,11.62
_2345_,11.6
_1974_,11.59
_1225_,11.58
_1843_,11.58
_2399_,11.58
reg_file.memory\[0\]\[31\],11.58
_1614_,11.56
reg_file.memory\[1\]\[1\],11.54
_0143_,11.505
reg_file.memory\[9\]\[11\],11.5
_0149_,11.48
_0504_,11.48
_0784_,11.48
_1099_,11.48
_0312_,11.445
_0560_,11.435
_1184_,11.42
reg_file.memory\[9\]\[13\],11.42
_1144_,11.4
_0642_,11.38
_0826_,11.38
_1224_,11.36
_1475_,11.36
_0755_,11.35
_0229_,11.335
_0690_,11.32
_2509_,11.32
_2642_,11.32
_2743_,11.32
_0447_,11.305
_1572_,11.3
_2197_,11.3
_0129_,11.285
_0263_,11.285
_1035_,11.28
_1861_,11.28
_2856_,11.26
_0952_,11.24
_1371_,11.24
_2013_,11.24
_2110_,11.24
reg_file.memory\[1\]\[3\],11.24
reg_file.memory\[21\]\[8\],11.24
_0633_,11.235
_0259_,11.205
_1142_,11.2
reg_file.memory\[15\]\[11\],11.2
_1466_,11.18
_1512_,11.18
_1761_,11.18
_2657_,11.18
_0257_,11.165
_1709_,11.16
_2551_,11.16
_0337_,11.145
PC\[0\],11.14
_0709_,11.12
_1067_,11.12
_1304_,11.12
_2379_,11.12
_2460_,11.12
_2578_,11.12
_1778_,11.1
reg_file.memory\[6\]\[11\],11.1
alu.ALUResult\[30\],11.09
_0819_,11.08
reg_file.memory\[25\]\[9\],11.08
reg_file.memory\[21\]\[23\],11.06
reg_file.memory\[8\]\[17\],11.06
_0865_,11.04
_1995_,11.04
_2711_,11.04
_2186_,11.03
_1052_,11.02
_2781_,11.02
_1474_,11
_0096_,10.985
_1691_,10.96
_1698_,10.96
_1875_,10.96
reg_file.memory\[8\]\[19\],10.96
_1538_,10.94
seven_seg_conv.temp\[1\],10.94
_0165_,10.925
_2228_,10.92
_0009_,10.9
_0527_,10.9
_2569_,10.9
reg_file.memory\[15\]\[22\],10.9
_1310_,10.88
_1343_,10.86
_1459_,10.86
_1712_,10.86
reg_file.memory\[10\]\[26\],10.86
reg_file.memory\[25\]\[1\],10.86
_1025_,10.84
reg_file.memory\[9\]\[15\],10.84
_0708_,10.82
_1397_,10.82
_1820_,10.82
_2785_,10.82
seven_seg_conv.temp\[21\],10.82
_1535_,10.8
_2381_,10.8
_2476_,10.8
_0131_,10.785
_0930_,10.78
_1858_,10.78
_2410_,10.78
_2412_,10.78
cx[3],10.78
_0710_,10.74
_2687_,10.74
reg_file.memory\[15\]\[24\],10.74
reg_file.memory\[6\]\[30\],10.74
seven_seg_conv.temp\[12\],10.74
net17,10.74
_0136_,10.715
_1161_,10.7
_2828_,10.7
_2009_,10.69
_0311_,10.68
_0233_,10.675
_0446_,10.665
_2810_,10.66
_1235_,10.64
reg_file.memory\[0\]\[6\],10.64
reg_file.memory\[4\]\[5\],10.64
reg_file.memory\[7\]\[2\],10.625
reg_file.memory\[10\]\[12\],10.62
reg_file.memory\[7\]\[1\],10.62
_1814_,10.6
reg_file.memory\[4\]\[6\],10.6
_0146_,10.575
_2355_,10.56
_2477_,10.56
reg_file.memory\[6\]\[6\],10.56
reg_file.memory\[4\]\[15\],10.54
_1054_,10.5
reg_file.memory\[25\]\[30\],10.5
_1851_,10.49
_0322_,10.485
reg_file.memory\[7\]\[28\],10.48
_1496_,10.46
_0697_,10.44
_2840_,10.44
reg_file.memory\[15\]\[13\],10.44
reg_file.memory\[21\]\[6\],10.44
_1280_,10.4
_2092_,10.4
_2804_,10.4
seven_seg_conv.temp\[27\],10.4
_2571_,10.36
reg_file.memory\[21\]\[26\],10.36
_1300_,10.34
_2235_,10.34
_2466_,10.34
reg_file.memory\[21\]\[19\],10.34
_0695_,10.32
_1036_,10.32
_1836_,10.32
_2114_,10.32
_2531_,10.32
_2826_,10.32
cx[5],10.32
_1234_,10.295
_0450_,10.285
_1504_,10.28
_2031_,10.28
reg_file.memory\[15\]\[18\],10.28
seven_seg_conv.temp\[26\],10.28
_0465_,10.265
_1859_,10.26
net11,10.26
_0276_,10.225
_0619_,10.22
_1891_,10.22
_1000_,10.2
_2081_,10.2
reg_file.memory\[8\]\[8\],10.2
_1178_,10.18
_1488_,10.18
reg_file.memory\[10\]\[27\],10.18
reg_file.memory\[2\]\[8\],10.18
reg_file.memory\[4\]\[28\],10.16
_0239_,10.145
_0415_,10.14
_1159_,10.14
_2156_,10.14
reg_file.memory\[10\]\[1\],10.14
_0084_,10.125
_2233_,10.12
_1158_,10.1
_2101_,10.1
_2336_,10.1
reg_file.memory\[10\]\[30\],10.1
_1501_,10.09
reg_file.memory\[10\]\[22\],10.08
_0533_,10.04
_0772_,10.04
_1295_,10.04
_1840_,10.04
_1990_,10.04
_0404_,10.025
_2263_,10.025
_0924_,10.02
_2746_,10.02
_0919_,10
_0153_,9.995
reg_file.memory\[0\]\[0\],9.98
_0077_,9.965
_2722_,9.96
reg_file.memory\[2\]\[2\],9.96
reg_file.memory\[4\]\[1\],9.96
_1721_,9.94
_0205_,9.905
_0556_,9.9
_1904_,9.9
_2710_,9.9
_1693_,9.88
_0432_,9.865
_1808_,9.86
_1835_,9.86
_2054_,9.86
_2672_,9.86
_2700_,9.86
_1681_,9.85
_0003_,9.845
_2567_,9.84
_2022_,9.82
_2635_,9.82
_2767_,9.82
reg_file.memory\[10\]\[13\],9.82
reg_file.memory\[10\]\[16\],9.82
_0743_,9.8
_0252_,9.785
_0364_,9.785
_0871_,9.78
_1103_,9.78
reg_file.memory\[4\]\[8\],9.78
reg_file.memory\[2\]\[4\],9.74
reg_file.memory\[9\]\[4\],9.74
_0197_,9.735
_1780_,9.73
_0258_,9.7
_0803_,9.7
_0954_,9.7
_1702_,9.68
_2543_,9.68
_1131_,9.66
_1233_,9.66
_1634_,9.66
reg_file.memory\[4\]\[10\],9.66
_1601_,9.64
an[7],9.64
_1453_,9.62
_2273_,9.62
_1414_,9.6
_1545_,9.6
_0061_,9.595
_1422_,9.58
_1677_,9.58
_1748_,9.58
_2143_,9.58
_1696_,9.55
_0361_,9.545
_2058_,9.54
reg_file.memory\[6\]\[15\],9.54
_1521_,9.52
_2117_,9.52
_0150_,9.505
_0522_,9.5
_1583_,9.5
reg_file.memory\[15\]\[16\],9.5
_1746_,9.48
_2221_,9.48
reg_file.memory\[10\]\[5\],9.48
reg_file.memory\[5\]\[31\],9.48
_0562_,9.46
reg_file.memory\[2\]\[16\],9.46
_0448_,9.445
_1437_,9.44
_2727_,9.44
_1268_,9.42
_1570_,9.42
_2175_,9.42
_2693_,9.42
_2793_,9.42
cx[4],9.42
_0139_,9.405
_0488_,9.405
_2605_,9.4
_0158_,9.385
_0401_,9.385
_2510_,9.38
_0758_,9.36
_0822_,9.36
_2195_,9.36
_2358_,9.36
reg_file.memory\[15\]\[27\],9.36
reg_file.memory\[6\]\[25\],9.36
_0203_,9.345
_1246_,9.34
_1560_,9.34
_0816_,9.32
_1236_,9.32
_1307_,9.32
_2126_,9.32
_2349_,9.32
_2583_,9.32
_2815_,9.32
_0247_,9.305
_0703_,9.3
_0787_,9.3
_2098_,9.3
_1244_,9.28
reg_file.memory\[25\]\[17\],9.28
reg_file.memory\[10\]\[15\],9.26
seven_seg_conv.temp\[17\],9.255
_1227_,9.24
_1374_,9.24
reg_file.memory\[6\]\[3\],9.22
reg_file.memory\[8\]\[6\],9.22
_1258_,9.2
_0686_,9.18
_0908_,9.18
an[5],9.18
reg_file.memory\[8\]\[5\],9.18
reg_file.memory\[8\]\[7\],9.18
_0715_,9.14
_0786_,9.14
_1082_,9.14
_1821_,9.12
_2671_,9.12
_0634_,9.1
_1037_,9.1
_0519_,9.08
_1071_,9.06
_1335_,9.06
_2740_,9.06
reg_file.memory\[1\]\[27\],9.06
seven_seg_conv.temp\[5\],9.06
_1664_,9.04
_2057_,9.04
_2827_,9.04
_1254_,9.02
_1419_,9.02
_2136_,9.02
_2387_,9.02
_2447_,9.02
_2812_,9.02
_2833_,9.02
reg_file.memory\[9\]\[26\],9.02
_1417_,9
_0219_,8.985
_0859_,8.98
_0987_,8.98
_1132_,8.98
_1253_,8.98
_2449_,8.98
_2487_,8.96
_1717_,8.955
_0915_,8.94
_2741_,8.94
reg_file.memory\[10\]\[0\],8.94
_0518_,8.92
_1914_,8.9
_2096_,8.9
_2426_,8.9
reg_file.memory\[15\]\[25\],8.9
reg_file.memory\[1\]\[6\],8.9
reg_file.memory\[25\]\[26\],8.9
reg_file.memory\[6\]\[12\],8.9
reg_file.memory\[9\]\[18\],8.9
net14,8.9
_1386_,8.88
_1513_,8.88
_1758_,8.88
reg_file.memory\[21\]\[28\],8.88
_1271_,8.87
_0742_,8.86
_1114_,8.86
_2172_,8.86
_0825_,8.82
_1360_,8.82
_2420_,8.82
_0301_,8.805
_1406_,8.8
_1751_,8.8
_2659_,8.8
reg_file.memory\[10\]\[3\],8.8
_0031_,8.785
_1384_,8.78
_1809_,8.78
reg_file.memory\[15\]\[1\],8.78
reg_file.memory\[1\]\[2\],8.78
_0102_,8.765
_0888_,8.74
_1532_,8.74
reg_file.memory\[25\]\[23\],8.74
_0187_,8.725
_0347_,8.725
an[2],8.72
an[3],8.72
an[4],8.72
an[6],8.72
_0829_,8.7
reg_file.memory\[10\]\[9\],8.7
_1641_,8.68
_1849_,8.68
_1645_,8.67
_0323_,8.665
_0967_,8.66
reg_file.memory\[2\]\[3\],8.66
_0103_,8.645
_0170_,8.625
_1301_,8.62
_2267_,8.62
_2289_,8.6
_2375_,8.6
_2500_,8.6
reg_file.memory\[1\]\[20\],8.6
reg_file.memory\[25\]\[16\],8.6
_1270_,8.58
_1825_,8.58
seven_seg_conv.temp\[6\],8.58
_0890_,8.56
_1207_,8.56
_1547_,8.56
_1646_,8.56
_1734_,8.56
_1922_,8.56
_2380_,8.56
_2638_,8.56
reg_file.memory\[10\]\[6\],8.56
reg_file.memory\[21\]\[11\],8.56
reg_file.memory\[21\]\[14\],8.56
reg_file.memory\[6\]\[7\],8.56
seven_seg_conv.temp\[10\],8.56
seven_seg_conv.temp\[7\],8.56
_1684_,8.54
_0920_,8.52
_2342_,8.5
_2424_,8.5
_0199_,8.485
seven_seg_conv.temp\[23\],8.48
_0333_,8.465
_2254_,8.44
_2661_,8.44
_2668_,8.44
_2688_,8.44
seven_seg_conv.temp\[19\],8.44
_0291_,8.42
_0505_,8.42
seven_seg_conv.temp\[14\],8.42
_1472_,8.405
_0922_,8.4
_1248_,8.4
_2689_,8.4
reg_file.memory\[8\]\[29\],8.4
reg_file.memory\[15\]\[5\],8.38
_2550_,8.36
reg_file.memory\[7\]\[19\],8.36
_0688_,8.34
_1662_,8.34
_1968_,8.34
_0266_,8.325
_1534_,8.32
_2165_,8.32
_2241_,8.32
reg_file.memory\[25\]\[22\],8.32
seven_seg_conv.temp\[15\],8.32
_0466_,8.305
_0501_,8.305
_0040_,8.3
_0043_,8.3
_1629_,8.28
_0717_,8.26
an[1],8.26
_1493_,8.24
_1945_,8.24
_2182_,8.24
reg_file.memory\[5\]\[4\],8.22
_1524_,8.2
_1763_,8.2
_1807_,8.2
reg_file.memory\[25\]\[3\],8.2
_0015_,8.165
_0177_,8.155
_1410_,8.15
_2552_,8.14
_2670_,8.14
_0973_,8.12
_1195_,8.12
_1365_,8.12
_2496_,8.12
reg_file.memory\[8\]\[9\],8.12
_0863_,8.1
_2347_,8.1
_2546_,8.1
reg_file.memory\[9\]\[5\],8.1
seven_seg_conv.current_digit\[2\],8.1
_0255_,8.085
_1998_,8.08
_0050_,8.065
_0185_,8.065
_0807_,8.06
_0932_,8.06
_1850_,8.06
_2084_,8.06
_2259_,8.06
_2422_,8.06
_2428_,8.06
_2506_,8.06
_2575_,8.06
_2647_,8.06
_2694_,8.06
_2416_,8.04
cx[1],8.04
cx[6],8.04
cx[7],8.04
net18,8.04
_0297_,8.025
_0503_,8.025
_1448_,8.02
_2343_,8.02
_2445_,8.02
_2556_,8.02
_2703_,8.02
_0750_,8
_2360_,8
_0338_,7.985
_0436_,7.985
_0834_,7.98
_1772_,7.98
_1892_,7.98
_2043_,7.98
_2537_,7.98
_2695_,7.98
reg_file.memory\[9\]\[6\],7.98
seven_seg_conv.temp\[22\],7.98
_0236_,7.96
_1313_,7.94
_1425_,7.94
_2528_,7.94
_2673_,7.94
_0738_,7.92
reg_file.memory\[15\]\[0\],7.92
reg_file.memory\[21\]\[0\],7.92
_0353_,7.905
_1212_,7.9
_2109_,7.9
_2836_,7.9
_0265_,7.88
_0350_,7.88
_1770_,7.88
_2402_,7.88
_2167_,7.86
reg_file.memory\[21\]\[17\],7.86
reg_file.memory\[21\]\[31\],7.86
reg_file.memory\[25\]\[29\],7.86
_0630_,7.84
_0947_,7.84
_0864_,7.8
_1125_,7.8
_1785_,7.78
_1841_,7.78
_1978_,7.78
_2008_,7.78
reg_file.memory\[6\]\[2\],7.78
seven_seg_conv.temp\[25\],7.78
_0140_,7.765
_0340_,7.765
_0458_,7.765
_0602_,7.76
_2025_,7.76
_1554_,7.74
reg_file.memory\[8\]\[2\],7.74
_0873_,7.7
_0970_,7.68
_1040_,7.68
_2464_,7.68
_2735_,7.68
_2807_,7.68
_1563_,7.66
_2592_,7.66
seven_seg_conv.temp\[8\],7.66
_0476_,7.645
_0723_,7.64
_0839_,7.64
_0848_,7.64
_0936_,7.64
_1593_,7.64
_1649_,7.64
_1991_,7.64
_2692_,7.64
_1801_,7.635
_0462_,7.625
_0766_,7.62
_2272_,7.615
_0691_,7.6
_0732_,7.6
_0913_,7.6
_0989_,7.6
_1110_,7.6
_1350_,7.6
_2131_,7.6
_1476_,7.58
_2515_,7.58
_2818_,7.58
_1162_,7.56
_1462_,7.56
_1714_,7.56
_1854_,7.56
_1898_,7.56
_2558_,7.56
_2596_,7.56
_2708_,7.56
reg_file.memory\[25\]\[12\],7.56
_1214_,7.54
_1494_,7.53
_0068_,7.525
_0925_,7.52
_1284_,7.52
_1325_,7.52
_1442_,7.52
_2590_,7.52
_2788_,7.52
reg_file.memory\[4\]\[26\],7.52
reg_file.memory\[9\]\[2\],7.52
_1274_,7.495
_0439_,7.48
_1076_,7.48
_2498_,7.48
_2798_,7.48
_2799_,7.48
_1196_,7.46
_0374_,7.445
_1266_,7.44
_2513_,7.44
_2786_,7.44
net5,7.44
_0459_,7.42
_0779_,7.42
_1428_,7.42
_1852_,7.42
_2356_,7.42
_1129_,7.4
_2286_,7.4
_0046_,7.385
_1121_,7.38
_0204_,7.355
_0319_,7.345
reg_file.memory\[4\]\[27\],7.34
reg_file.memory\[6\]\[9\],7.34
seven_seg_conv.temp\[0\],7.34
_0778_,7.32
_0928_,7.32
_1299_,7.32
reg_file.memory\[4\]\[13\],7.32
_0109_,7.305
_0193_,7.305
_0345_,7.305
reg_file.memory\[21\]\[22\],7.3
reg_file.memory\[21\]\[30\],7.3
_1315_,7.28
reg_file.memory\[2\]\[20\],7.28
_0289_,7.245
_1074_,7.24
_1688_,7.24
_0661_,7.22
_1960_,7.22
_2303_,7.22
_2645_,7.22
_2698_,7.22
_2809_,7.22
reg_file.memory\[10\]\[14\],7.22
reg_file.memory\[15\]\[2\],7.22
reg_file.memory\[1\]\[14\],7.22
_2295_,7.2
_0425_,7.185
_1136_,7.18
_1285_,7.18
_1370_,7.18
_1580_,7.18
_1798_,7.18
_2281_,7.18
_2353_,7.18
_2433_,7.18
_2441_,7.18
reg_file.memory\[1\]\[5\],7.18
_0090_,7.165
_0191_,7.145
_0287_,7.145
_0497_,7.145
_1262_,7.14
_1620_,7.14
_2589_,7.14
_0621_,7.12
_0792_,7.12
_0335_,7.105
_1605_,7.1
_1931_,7.1
_2526_,7.1
_2674_,7.1
reg_file.memory\[10\]\[17\],7.1
_1348_,7.06
_1458_,7.06
_1555_,7.06
_2361_,7.06
_2377_,7.06
_2539_,7.06
_2627_,7.06
_2666_,7.06
reg_file.memory\[1\]\[10\],7.06
reg_file.memory\[1\]\[26\],7.06
reg_file.memory\[21\]\[13\],7.06
reg_file.memory\[25\]\[21\],7.06
reg_file.memory\[25\]\[31\],7.06
reg_file.memory\[25\]\[7\],7.06
reg_file.memory\[2\]\[19\],7.06
_0223_,7.055
_0107_,7
reg_file.memory\[6\]\[5\],7
reg_file.memory\[8\]\[13\],7
_1021_,6.98
_1622_,6.98
_2628_,6.98
_0879_,6.96
_1826_,6.96
_1120_,6.94
_1857_,6.94
_2181_,6.94
_2292_,6.94
_2683_,6.92
_2260_,6.915
_0736_,6.9
_0250_,6.885
_0483_,6.885
_0494_,6.885
_1546_,6.88
_2230_,6.88
reg_file.memory\[15\]\[15\],6.86
reg_file.memory\[9\]\[12\],6.86
_0470_,6.825
_1223_,6.82
_1802_,6.82
_0105_,6.785
rst,6.77
_0183_,6.765
_2357_,6.76
_2731_,6.76
_2758_,6.76
_2864_,6.76
reg_file.memory\[15\]\[17\],6.76
seven_seg_conv.temp\[20\],6.76
_1115_,6.74
_1757_,6.74
_2593_,6.74
seven_seg_conv.temp\[4\],6.74
_0011_,6.72
_1220_,6.72
_2199_,6.72
reg_file.memory\[25\]\[28\],6.72
_0480_,6.705
_0587_,6.7
_0832_,6.7
_0067_,6.685
_0329_,6.685
_0351_,6.685
_2188_,6.66
_2721_,6.66
_2845_,6.66
_0986_,6.64
_1739_,6.64
_1996_,6.64
_2728_,6.64
_2779_,6.64
_2783_,6.64
reg_file.memory\[4\]\[0\],6.64
seven_seg_conv.temp\[11\],6.64
_2203_,6.62
_0747_,6.615
_0887_,6.6
_2406_,6.6
reg_file.memory\[1\]\[12\],6.6
reg_file.memory\[6\]\[31\],6.6
reg_file.memory\[8\]\[1\],6.6
_0507_,6.58
_0991_,6.54
_1290_,6.54
_1548_,6.54
_2842_,6.52
seven_seg_conv.temp\[16\],6.52
_0281_,6.5
reg_file.memory\[25\]\[18\],6.5
reg_file.memory\[6\]\[28\],6.5
_0652_,6.48
_1765_,6.48
_0214_,6.475
_0256_,6.465
_0496_,6.44
_1979_,6.43
_0034_,6.425
_0485_,6.425
_2124_,6.42
reg_file.memory\[4\]\[25\],6.42
_0785_,6.4
_1650_,6.4
_1903_,6.4
_0244_,6.395
_1485_,6.38
_1962_,6.38
_0094_,6.365
_0349_,6.365
_1706_,6.32
_1899_,6.315
_0420_,6.305
