net,length_um
reg_file.memory\[0\]\[23\],78.64
_2446_,78.28
_1674_,77.35
_0000_,76.545
_2068_,76.14
_1655_,75.66
_2077_,75.62
_0805_,75.43
_2438_,75.24
_0292_,75.185
_0013_,75.16
_2367_,75.12
_2004_,74.75
_2411_,74.46
_1342_,73.85
_2174_,73.72
_0388_,73.645
_2100_,73.35
clknet_leaf_8_clk,73.14
_0754_,72.95
_1072_,72.87
_2071_,72.735
_2066_,72.38
_2276_,72.22
_1171_,71.92
reg_file.memory\[0\]\[25\],71.18
_1947_,71.02
_1771_,70.86
_2423_,69.42
_0260_,69.245
reg_file.memory\[9\]\[25\],69.16
_1935_,69.02
_0101_,68.745
_2467_,68.63
_2393_,68.52
an[0],68.52
_1889_,68.08
_1756_,67.94
_2440_,67.84
_1950_,67.78
net12,67.5
_0719_,67.48
_2427_,67.19
_2076_,67.15
_0883_,66.99
_2160_,66.8
_2064_,66.51
_1776_,66.1
_2155_,66.08
_2302_,65.795
_2434_,65.74
_1078_,65.28
_0538_,65.04
_0623_,65.02
clknet_leaf_14_clk,64.98
_0294_,64.505
_0018_,64.435
_1116_,64.35
_1391_,64.22
_0705_,63.94
_2453_,63.92
_2113_,63.71
_0540_,63.58
_1944_,63.52
_1654_,63.41
_2455_,63.26
_1940_,63.08
_0099_,62.84
_2538_,62.7
_2060_,62.51
_2450_,62.34
_1174_,62.28
_0164_,61.905
_2442_,61.9
PC\[1\],61.84
_0019_,61.455
_1669_,61.28
_2130_,61.175
_0547_,60.48
_0997_,60.03
_1385_,59.14
_0196_,58.8
_2140_,58.74
_0550_,58.72
_0565_,58.62
_1118_,58.615
_2024_,58.52
net8,58.42
_0764_,58.38
_1656_,58.08
_2612_,58.08
_0698_,57.66
_2037_,57.66
_2415_,57.52
_1846_,57.135
_2465_,57.02
seven_seg_conv.digit_counter\[1\],56.74
_2417_,56.64
_2425_,56.52
reg_file.memory\[9\]\[22\],56.48
_0016_,56.42
_0324_,56.045
_2129_,56.01
_0557_,55.41
_0017_,55.28
_0689_,55.28
_2421_,55.18
_2436_,55.16
_1105_,54.73
_0868_,54.66
_1029_,54.315
_2287_,54.31
_0729_,54.3
_2246_,54.18
_0933_,54.12
alu.ALUControl\[2\],54.12
reg_file.memory\[9\]\[23\],54.06
_1747_,53.9
_1045_,53.56
_1880_,53.5
_1863_,53.48
net10,53.42
reg_file.memory\[7\]\[14\],52.735
_2682_,52.54
_0672_,52.38
_2119_,52.12
_0484_,51.835
_0949_,51.8
_0548_,51.7
_1782_,51.64
_2448_,51.56
_0746_,51.48
_0788_,51.3
_0830_,50.755
_2088_,50.7
_2458_,50.7
_1703_,50.64
reg_file.memory\[1\]\[21\],49.83
_1929_,49.79
_2063_,49.76
_1730_,49.48
_0917_,49.22
_0814_,49.12
_1133_,49.08
reg_file.memory\[1\]\[25\],49.04
_2014_,48.64
_0777_,48.62
_1444_,48.2
_2501_,47.72
_1685_,47.7
_1754_,47.6
_0194_,47.385
_0132_,47.36
_2401_,47.36
_1665_,47.34
reg_file.memory\[1\]\[24\],47.14
_0564_,46.86
_2242_,46.81
_2429_,46.52
alu.ALUControl\[0\],46.4
_0846_,46.34
_2264_,46.22
_2613_,46.1
_2193_,45.93
clknet_leaf_5_clk,45.88
_1407_,45.8
_1867_,45.8
_1678_,45.68
reg_file.memory\[9\]\[24\],45.62
_0911_,45.54
