net,length_um
net1,57.98
net2,53.64
net3,43.54
_02_,41.04
net5,40.12
net8,38.02
_05_,37.94
_03_,36.08
_09_,35.3
net13,34.44
_04_,33.9
net16,30.3
_06_,28.92
net7,27.72
net11,27.6
_00_,27.24
_01_,26.44
net6,23.53
net9,22.12
net15,18.78
net4,16.06
_08_,14.64
x[7],12.79
y[0],11.89
x[0],11.07
y[7],10.61
net12,8.28
y[6],6.69
net14,6.64
x[1],6.33
x[5],6.31
net10,6.26
_07_,6.18
x[3],5.97
y[3],5.29
y[5],5.29
x[4],4.95
x[2],4.61
x[6],4.61
y[1],3.93
y[2],3.93
y[4],3.93
